"month(e.created_at)","Location"
7,POINT(22.008216 50.039479333333)
7,POINT(22.003655 50.0313175)
7,POINT(22.003861 50.039775666667)
7,POINT(22.003674666667 50.0374945)
7,POINT(21.999299 50.0488305)
7,POINT(22.003581166667 50.037413166667)
7,POINT(21.999275666667 50.048810166667)
7,POINT(22.003656333333 50.031333833333)
7,POINT(21.9993805 50.026831666667)
7,POINT(22.003721333333 50.036205833333)
7,POINT(21.995844833333 50.023598166667)
7,POINT(21.995477833333 50.023226833333)
7,POINT(21.995322333333 50.025116666667)
7,POINT(21.998985833333 50.046866166667)
7,POINT(22.0214005 50.0293115)
7,POINT(22.022554166667 50.038233666667)
7,POINT(22.022082166667 50.042801333333)
7,POINT(22.002492666667 50.041200333333)
7,POINT(22.007088333333 50.037797833333)
7,POINT(22.017339333333 50.030393833333)
7,POINT(22.016854333333 50.036622166667)
7,POINT(22.006453 50.0401905)
7,POINT(22.0071745 50.037432833333)
7,POINT(22.002074 50.040782166667)
7,POINT(21.976766166667 50.048617)
7,POINT(22.000855166667 50.041013833333)
7,POINT(22.0020955 50.040982)
7,POINT(22.002480666667 50.037524166667)
7,POINT(22.005144833333 50.038322)
7,POINT(22.002589 50.036882833333)
7,POINT(22.021419666667 50.029277666667)
7,POINT(22.015847333333 50.027262)
7,POINT(22.017939166667 50.023445666667)
7,POINT(22.017886 50.023342833333)
7,POINT(22.017582833333 50.019639666667)
7,POINT(22.017978833333 50.023390333333)
7,POINT(22.002310666667 50.037765666667)
7,POINT(22.021394333333 50.029277666667)
7,POINT(22.005565666667 50.038306333333)
7,POINT(22.0064605 50.0381995)
7,POINT(22.002562166667 50.0367375)
7,POINT(22.003677666667 50.036407)
7,POINT(22.002932333333 50.037841333333)
7,POINT(21.999260166667 50.046780166667)
7,POINT(22.003732333333 50.036272666667)
7,POINT(22.001627666667 50.036565833333)
7,POINT(21.9996245 50.041243)
7,POINT(21.997847 50.039653333333)
7,POINT(22.017012666667 50.036819833333)
7,POINT(22.0169265 50.036773666667)
7,POINT(22.016234666667 50.026673)
7,POINT(22.018550333333 50.034538833333)
7,POINT(22.0171515 50.030126833333)
7,POINT(22.016988 50.036684333333)
7,POINT(22.016809166667 50.036587333333)
7,POINT(22.0092905 50.035543166667)
7,POINT(22.009354666667 50.029466)
7,POINT(22.009252833333 50.029496333333)
7,POINT(22.0101095 50.038295)
7,POINT(22.005414333333 50.038304166667)
7,POINT(22.0157785 50.0265485)
7,POINT(22.015959166667 50.026743333333)
7,POINT(22.017208833333 50.028056166667)
7,POINT(22.009159 50.029734166667)
7,POINT(21.994165 50.037858166667)
7,POINT(22.007595 50.039112666667)
7,POINT(22.004521166667 50.040554)
7,POINT(22.002267666667 50.041158)
7,POINT(22.009022833333 50.037105333333)
7,POINT(22.002021833333 50.033621333333)
7,POINT(22.013576 50.028206666667)
7,POINT(22.017620666667 50.0288705)
7,POINT(22.007676333333 50.039177)
7,POINT(22.004361666667 50.0400955)
7,POINT(22.017852166667 50.028965)
7,POINT(22.000110666667 50.029560833333)
7,POINT(22.022221166667 50.038040666667)
7,POINT(22.0176345 50.0288335)
7,POINT(22.016400833333 50.0382455)
7,POINT(22.0145705 50.027129333333)
7,POINT(22.014591833333 50.027079833333)
7,POINT(22.015993 50.027044833333)
7,POINT(22.004739833333 50.037451166667)
7,POINT(21.999309166667 50.047144833333)
7,POINT(21.999300666667 50.0471375)
7,POINT(22.003461333333 50.036146833333)
7,POINT(22.0048555 50.032961333333)
7,POINT(22.017701333333 50.028896)
7,POINT(21.999942333333 50.039003333333)
7,POINT(22.010019166667 50.036491166667)
7,POINT(22.021455333333 50.029545666667)
7,POINT(21.99037 50.023807666667)
7,POINT(22.000355333333 50.031124333333)
7,POINT(22.0122495 50.038442333333)
7,POINT(22.002779333333 50.038307666667)
7,POINT(22.012486833333 50.019081833333)
7,POINT(21.999947 50.039049833333)
7,POINT(22.022179333333 50.038113)
7,POINT(21.999013 50.041781166667)
7,POINT(21.9989665 50.04179)
7,POINT(22.009157833333 50.029447666667)
7,POINT(22.008739166667 50.036065833333)
7,POINT(22.007946333333 50.039272)
7,POINT(22.013952666667 50.0382385)
7,POINT(22.0170415 50.036574)
7,POINT(21.995125 50.039491333333)
7,POINT(22.004181833333 50.035258166667)
7,POINT(22.005052666667 50.038226833333)
7,POINT(21.999052833333 50.041768666667)
7,POINT(21.998833666667 50.041669166667)
7,POINT(22.013148 50.026042833333)
7,POINT(22.003691833333 50.0365565)
7,POINT(22.0159335 50.026888666667)
7,POINT(22.0017455 50.037687333333)
7,POINT(21.999379833333 50.026866333333)
7,POINT(22.016972166667 50.036689)
7,POINT(22.022124333333 50.038071666667)
7,POINT(22.009013166667 50.0295105)
7,POINT(22.013089333333 50.0265985)
7,POINT(21.998919666667 50.0416855)
7,POINT(22.015934833333 50.026798166667)
7,POINT(22.004465666667 50.0373625)
7,POINT(22.022380666667 50.038046)
7,POINT(22.022306666667 50.038025)
7,POINT(22.022455166667 50.038049666667)
7,POINT(21.993871833333 50.030570833333)
7,POINT(22.0134425 50.028355333333)
7,POINT(22.017320333333 50.039131666667)
7,POINT(22.003519166667 50.031380666667)
7,POINT(22.001146166667 50.036629333333)
7,POINT(22.0049915 50.037274666667)
7,POINT(22.012973833333 50.026594)
7,POINT(22.004930833333 50.032993833333)
7,POINT(22.0129035 50.0266455)
7,POINT(22.009575833333 50.028915)
7,POINT(22.0096405 50.028864166667)
7,POINT(22.012848333333 50.028022666667)
7,POINT(21.999258166667 50.026852)
7,POINT(21.991467 50.024574166667)
7,POINT(22.017355333333 50.039123666667)
7,POINT(22.004744833333 50.033122333333)
7,POINT(22.0051375 50.021713166667)
7,POINT(22.008582 50.0297185)
7,POINT(22.012522166667 50.019063333333)
7,POINT(22.0046165 50.033039333333)
7,POINT(21.992737833333 50.0307345)
7,POINT(21.9989145 50.0415705)
7,POINT(22.006464833333 50.040204)
7,POINT(21.999246 50.047284833333)
7,POINT(22.0022995 50.04005)
7,POINT(22.0056945 50.037585333333)
7,POINT(22.000895333333 50.031696333333)
7,POINT(21.997592833333 50.035149)
7,POINT(22.006345 50.040181333333)
7,POINT(21.997882333333 50.035381666667)
7,POINT(21.981249833333 50.048749)
7,POINT(21.983319333333 50.045526833333)
7,POINT(21.983520666667 50.045353333333)
7,POINT(22.007830333333 50.028846166667)
7,POINT(22.017323333333 50.039114333333)
7,POINT(22.017344166667 50.039111166667)
7,POINT(21.9936405 50.030644)
7,POINT(22.0059095 50.0376445)
7,POINT(21.9992645 50.026821166667)
7,POINT(22.001461833333 50.037074166667)
7,POINT(21.996028166667 50.031905833333)
7,POINT(21.999644666667 50.0319405)
7,POINT(21.999607166667 50.031881833333)
7,POINT(22.007993833333 50.037742)
7,POINT(22.0013085 50.034608)
7,POINT(22.002087166667 50.033789333333)
7,POINT(22.002434833333 50.036314166667)
7,POINT(22.009273 50.029920333333)
7,POINT(22.002314333333 50.032609333333)
7,POINT(22.012598333333 50.019063166667)
7,POINT(22.001124166667 50.034555333333)
7,POINT(22.0019855 50.0378255)
7,POINT(22.000903333333 50.034562333333)
7,POINT(22.002097833333 50.034723666667)
7,POINT(22.002367666667 50.03312)
7,POINT(22.002101666667 50.034730666667)
7,POINT(22.0011355 50.034588833333)
7,POINT(22.002368333333 50.033193166667)
7,POINT(22.017353333333 50.039106)
7,POINT(21.999241833333 50.026842333333)
7,POINT(22.005799666667 50.0245335)
7,POINT(22.0020815 50.0375915)
7,POINT(21.999195333333 50.026905166667)
7,POINT(21.999301833333 50.026907333333)
7,POINT(22.010005 50.0393625)
7,POINT(21.998799333333 50.050514)
7,POINT(22.000268333333 50.0312635)
7,POINT(21.999246666667 50.047249)
7,POINT(22.012901333333 50.028196666667)
7,POINT(22.017383666667 50.039105333333)
7,POINT(22.004664166667 50.030432666667)
7,POINT(22.013527 50.038312833333)
7,POINT(22.0231805 50.029753833333)
7,POINT(21.9992885 50.0472855)
7,POINT(21.999281333333 50.040525333333)
7,POINT(21.994542666667 50.038488)
7,POINT(21.9992175 50.026908666667)
7,POINT(22.004016666667 50.040260666667)
7,POINT(22.004861166667 50.037660166667)
7,POINT(22.0027325 50.038275166667)
7,POINT(22.0230325 50.029737333333)
7,POINT(22.022512 50.017868833333)
7,POINT(22.022592166667 50.017860833333)
7,POINT(22.004929666667 50.030604)
7,POINT(22.005034166667 50.030552333333)
